addr_state,n,default_rate,pr_auc,default_prevalence,pr_auc_lift,roc_auc,gini,ks_statistic,f1,recall,precision,balanced_accuracy,brier_score,review_rate
CO,208,0.1346153846153846,0.2973257125296887,0.1346153846153846,2.2087052930776876,0.7255952380952381,0.45119047619047614,0.46111111111111114,0.3958333333333333,0.6785714285714286,0.27941176470588236,0.7031746031746031,0.1075362396980449,0.3269230769230769
MI,186,0.21505376344086022,0.4274005596437609,0.21505376344086022,1.9874126023434882,0.7025684931506849,0.40513698630136985,0.3527397260273973,0.4318181818181818,0.475,0.3958333333333333,0.6381849315068493,0.16439684925006173,0.25806451612903225
MN,173,0.15606936416184972,0.37685385350040784,0.15606936416184972,2.414656172428539,0.7404870624048706,0.4809741248097412,0.4051243023845763,0.38235294117647056,0.48148148148148145,0.3170731707317073,0.6448503297818367,0.12123221967128557,0.23699421965317918
WI,148,0.16216216216216217,0.3606203247288382,0.16216216216216217,2.2238253358278355,0.7389112903225806,0.47782258064516125,0.4126344086021505,0.3448275862068966,0.4166666666666667,0.29411764705882354,0.6115591397849462,0.12871735281937502,0.22972972972972974
SC,142,0.1619718309859155,0.31977291835101224,0.1619718309859155,1.9742501915584234,0.7654366094263791,0.5308732188527583,0.5096821337230544,0.3870967741935484,0.5217391304347826,0.3076923076923077,0.6474241870661308,0.12738817745359135,0.2746478873239437
NV,141,0.2695035460992908,0.5749250245365098,0.2695035460992908,2.1332744331486286,0.8094021461420541,0.6188042922841082,0.5273377618804292,0.524822695035461,0.9736842105263158,0.3592233009708738,0.6664537557485948,0.16694144815990478,0.7304964539007093
OR,136,0.19117647058823528,0.420686123003798,0.19117647058823528,2.2005120280198667,0.7230769230769232,0.44615384615384635,0.38531468531468527,0.4523809523809524,0.7307692307692307,0.3275862068965517,0.6881118881118882,0.14420705830147523,0.4264705882352941
LA,130,0.1076923076923077,0.20743985896478312,0.1076923076923077,1.9262272618158431,0.6225369458128079,0.24507389162561588,0.2795566502463054,0.32,0.2857142857142857,0.36363636363636365,0.6126847290640394,0.09421266999551019,0.08461538461538462
AL,115,0.2,0.3862391140343018,0.2,1.931195570171509,0.7381852551984878,0.47637051039697553,0.43478260869565216,0.48148148148148145,0.5652173913043478,0.41935483870967744,0.6847826086956521,0.15491437678631614,0.26956521739130435
KY,103,0.1553398058252427,0.3360907489685828,0.1553398058252427,2.1635841964852522,0.7061781609195402,0.41235632183908044,0.4166666666666667,0.17391304347826086,0.125,0.2857142857142857,0.5337643678160919,0.1325671623231558,0.06796116504854369
KS,95,0.09473684210526316,0.30897740985460287,0.09473684210526316,3.261428215131919,0.6808785529715762,0.36175710594315236,0.5155038759689923,0.25,0.2222222222222222,0.2857142857142857,0.5820413436692506,0.08077106853091762,0.07368421052631578
OK,92,0.13043478260869565,0.3732341868340152,0.13043478260869565,2.8614620990607835,0.715625,0.4312499999999999,0.425,0.3137254901960784,0.6666666666666666,0.20512820512820512,0.6395833333333334,0.10451525188721651,0.42391304347826086
AR,84,0.11904761904761904,0.21584996018848351,0.11904761904761904,1.8131396655832617,0.6743243243243243,0.34864864864864864,0.35945945945945945,0.23529411764705882,0.4,0.16666666666666666,0.5648648648648649,0.10194135869465061,0.2857142857142857
UT,80,0.0875,0.7502834467120181,0.0875,8.574667962423064,0.9608610567514677,0.9217221135029354,0.8493150684931507,0.30434782608695654,1.0,0.1794871794871795,0.7808219178082192,0.06752707230094619,0.4875
HI,66,0.13636363636363635,0.2992452128753026,0.13636363636363635,2.194464894418886,0.7212475633528266,0.44249512670565316,0.42690058479532167,0.34782608695652173,0.8888888888888888,0.21621621621621623,0.6900584795321637,0.11188686557246844,0.5606060606060606
DC,64,0.109375,0.4944703243616287,0.109375,4.520871537020605,0.87468671679198,0.7493734335839599,0.7192982456140351,0.38461538461538464,0.7142857142857143,0.2631578947368421,0.7343358395989975,0.08151888798815896,0.296875
RI,58,0.1896551724137931,0.33886355357208675,0.1896551724137931,1.7867351006528212,0.5822050290135397,0.1644100580270793,0.18375241779497092,0.26666666666666666,0.18181818181818182,0.5,0.5696324951644101,0.15930424217371802,0.06896551724137931
NH,48,0.14583333333333334,0.41419294990723565,0.14583333333333334,2.84018022793533,0.7421602787456446,0.4843205574912892,0.5435540069686411,0.4166666666666667,0.7142857142857143,0.29411764705882354,0.7108013937282229,0.11282952676607548,0.3541666666666667
NM,47,0.2127659574468085,0.27179680419967195,0.2127659574468085,1.2774449797384582,0.5567567567567568,0.11351351351351369,0.22972972972972971,0.13333333333333333,0.1,0.2,0.49594594594594593,0.18478442789031085,0.10638297872340426
WV,42,0.09523809523809523,0.21575251722310546,0.09523809523809523,2.2654014308426076,0.5394736842105263,0.07894736842105265,0.39473684210526316,0.3076923076923077,0.5,0.2222222222222222,0.6578947368421053,0.0857421019820377,0.21428571428571427
DE,31,0.12903225806451613,0.29305555555555557,0.12903225806451613,2.2711805555555555,0.6944444444444444,0.38888888888888884,0.4814814814814815,0.26666666666666666,0.5,0.18181818181818182,0.5833333333333333,0.1089019071584792,0.3548387096774194
