segment,n_loans,actual_defaults,actual_chargeoff_rate,avg_predicted_pd,pr_auc,roc_auc,brier_score
Not Verified,4607,526,0.11417408291729976,0.09501720976833533,0.19968648200139694,0.6684692020799345,0.09802032086447623
Source Verified,3797,408,0.1074532525678167,0.08812758987142774,0.18501435741218494,0.655226829592858,0.0934414807177105
Verified,3080,327,0.10616883116883116,0.10326207115928299,0.18882356120096047,0.6490445230168702,0.0919735610082276
