cohort,mature,n_loans,default_rate,pr_auc,brier_score,capture_at_20
2011Q2,True,3163,0.10527979766044894,0.19813336117602426,0.09084224163551356,0.39039039039039036
2011Q3,True,3951,0.10604910149329284,0.18408697651805767,0.09209370522544164,0.36992840095465396
2011Q4,True,4370,0.11647597254004577,0.19284107833117903,0.10033392420464085,0.33988212180746563
