grade,n,default_rate,pr_auc,default_prevalence,pr_auc_lift,roc_auc,gini,ks_statistic,f1,recall,precision,balanced_accuracy,brier_score,review_rate
B,3568,0.13340807174887892,0.19139379396724326,0.13340807174887892,1.43464927914942,0.6246623164142759,0.24932463282855188,0.19836770413210558,0.2537182852143482,0.30462184873949577,0.21739130434782608,0.5678995401524128,0.11368606163653758,0.18693946188340807
A,3363,0.07136485280999108,0.09746393653093245,0.07136485280999108,1.3657134106396909,0.5909408688227132,0.18188173764542648,0.1673350944604547,0.043795620437956206,0.025,0.17647058823529413,0.5080171309638168,0.06591689171333326,0.010110020814748736
C,2048,0.19873046875,0.2719072583801393,0.19873046875,1.368221290325615,0.5982913277246001,0.19658265544920028,0.17391864192595452,0.3534675615212528,0.5823095823095823,0.25374732334047106,0.5787842853656382,0.15773372630829013,0.4560546875
D,1359,0.2729948491537896,0.382418095848237,0.2729948491537896,1.4008253160586361,0.6071974202560101,0.21439484051202018,0.15549123170771634,0.44019933554817275,0.7142857142857143,0.31812725090036015,0.5696934644303066,0.20041974079491676,0.6129506990434143
E,784,0.32653061224489793,0.4045146039884068,0.32653061224489793,1.2388259747144958,0.5650893702651515,0.13017874053030298,0.10830965909090912,0.48225214198286415,0.76953125,0.3511586452762923,0.5400686553030303,0.23400241989079834,0.7155612244897959
F,302,0.4337748344370861,0.4693775349449648,0.4337748344370861,1.0820764546059494,0.5391723583768582,0.07834471675371635,0.09481719566090802,0.6139088729016786,0.9770992366412213,0.44755244755244755,0.5265613142270434,0.267944999901741,0.9470198675496688
G,77,0.4805194805194805,0.585216760391847,0.4805194805194805,1.217883528383033,0.5844594594594595,0.16891891891891908,0.26756756756756755,0.6355140186915887,0.918918918918919,0.4857142857142857,0.5094594594594595,0.29624187249971173,0.9090909090909091
