model,C,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,cv_folds
logistic_regression,1.0,0.21301322006853965,0.02336414073161752,0.6460233191804875,0.025025560385593698,3
logistic_regression,10.0,0.21265279317495436,0.023543613829158257,0.6437604562126242,0.026645425486482487,3
logistic_regression,0.1,0.2123814535853381,0.024788603548481412,0.6456954568504368,0.02740875746687094,3
logistic_regression,0.01,0.20732851329402435,0.029469810943371245,0.6361141131337131,0.04185604725527495,3
