feature_set_mode,threshold,feature_count,pr_auc,default_prevalence,pr_auc_lift,roc_auc,gini,ks_statistic,f1,recall,precision,balanced_accuracy,brier_score,review_rate
all,0.15000000000000002,23,0.3365714687537499,0.1667681071211199,2.0182004494978507,0.7196379428856953,0.43927588577139054,0.33331340245919056,0.40106194690265484,0.5907194994786236,0.30359056806002144,0.659755033053514,0.1286992799059889,0.32449352230240847
no_int_sub,0.14,21,0.3384018442930036,0.1667681071211199,2.0291760225306748,0.7194800011360055,0.43896000227201104,0.33468063503573464,0.39907269415466134,0.6282586027111574,0.2924047561271536,0.661984878940886,0.12864755197578295,0.35831666811581603
no_int_sub_grade,0.15000000000000002,20,0.33199740355787943,0.1667681071211199,1.9907727519912262,0.711030525575519,0.4220610511510381,0.32291672220652295,0.39908256880733944,0.5896767466110532,0.3016,0.6581901420627008,0.12926944021114226,0.32605860359968697
no_pricing_all,0.16,18,0.3277709315457946,0.1667681071211199,1.9654293449990532,0.7094826637847239,0.4189653275694478,0.32217788343256876,0.3954154727793696,0.5396246089676746,0.312028941814893,0.6507472935269345,0.1295081925083353,0.2884097035040431
