feature,coefficient,odds_ratio
categorical__addr_state_WY,-1.5513267366519456,0.2119665633806214
categorical__addr_state_IN,-1.362804136622363,0.2559420732120588
categorical__addr_state_NE,1.317933366700191,3.735693086509517
categorical__grade_A,-0.9945358275751979,0.36989509980755714
categorical__sub_grade_G3,0.9076672726126248,2.4785340402852056
categorical__addr_state_NV,0.847004616284086,2.332649197407041
categorical__addr_state_ME,-0.7033235504717962,0.49493761707238637
categorical__addr_state_MT,-0.6438416973276274,0.5252706122278464
categorical__addr_state_IA,-0.6349641326693559,0.5299544960298239
categorical__grade_F,0.6124661264168328,1.844975736424958
categorical__purpose_small_business,0.5870420455625697,1.798660184077141
categorical__sub_grade_A2,-0.5807566925615433,0.5594748558900986
categorical__sub_grade_F5,0.5750656496967261,1.777247198823869
categorical__addr_state_HI,0.5650681765761805,1.7595677399366991
categorical__addr_state_KY,-0.5637878708349955,0.5690494903699983
categorical__addr_state_AK,0.5472299956631608,1.7284585429149049
categorical__sub_grade_G5,0.536899326010952,1.7106943248217694
categorical__purpose_wedding,-0.5267824626697274,0.5905018781915701
categorical__purpose_renewable_energy,0.5147033462631926,1.6731420843175973
categorical__addr_state_NC,0.49851705207114155,1.646278114890638
categorical__addr_state_FL,0.490946743519194,1.6338623365303355
categorical__purpose_credit_card,-0.4829716776972705,0.6169472964942062
categorical__grade_G,0.4315367245371628,1.5396216809687642
categorical__home_ownership_OTHER,0.42029532639504175,1.5224110974157585
categorical__addr_state_OH,-0.38001940016599267,0.6838481423161916
categorical__home_ownership_NONE,-0.37667126909248144,0.6861415927749556
categorical__addr_state_KS,-0.3765756388009522,0.6862072118330378
categorical__sub_grade_F3,0.3734515497690545,1.4527401762413201
categorical__addr_state_SD,0.37272338231143903,1.4516827231687925
categorical__addr_state_GA,0.36999173674618513,1.4477226517141735
