home_ownership,n,default_rate,pr_auc,roc_auc,f1,recall,precision,balanced_accuracy,brier_score
RENT,5337,0.1839985010305415,0.36162111535143304,0.7069003252576223,0.41432791728212703,0.5712830957230143,0.3250289687137891,0.6518872424654107,0.1409619302347743
MORTGAGE,5306,0.14964191481341876,0.31934038471211834,0.7336280414277292,0.38351822503961963,0.6095717884130982,0.27976878612716766,0.6667096530717973,0.11642681425169184
OWN,858,0.1655011655011655,0.3330972254902934,0.721929341411598,0.42105263157894735,0.6197183098591549,0.3188405797101449,0.6785742387284601,0.12831821652878775
