model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std
logistic_regression,0.22409308980428463,0.02131348928854359,0.6691452383211619,0.02510474110413083,0.6213725342189736,0.019388706246388956
random_forest,0.20411675112642888,0.02512942040009345,0.6519249204626437,0.034051137011566535,0.5206961952050673,0.006767348634309203
dummy,0.12723190189011516,0.004190665490698797,0.5,0.0,0.5,0.0
